KDJ,KabKot,Region,Province,Regency_Ci,District_name,sat_2019,sat_2020,gdp_2019,gdp_2020
7103,Kabupaten Kepulauan Sangihe,Sulawesi,North Sulawesi,Regency,Kepulauan Sangihe,181.3899515,202.468855,3010,3025
6209,Kabupaten Katingan,Kalimantan,Central Kalimantan,Regency,Katingan,372.1433096,350.2570798,5110,4944
5319,Kabupaten Manggarai Timur,Nusa Tenggara,East Nusa Tenggara,Regency,Manggarai Timur,160.4819747,205.936162,2024,2042
7505,Kabupaten Gorontalo Utara,Sulawesi,Gorontalo,Regency,Gorontalo Utara,551.6438461,496.5600653,2325,2325
8202,Kabupaten Halmahera Tengah,Maluku,North Maluku,Regency,Halmahera Tengah,413.6391444,755.0319082,1522,1923
7601,Kabupaten Majene,Sulawesi,West Sulawesi,Regency,Majene,159.3754724,167.1115261,3576,3527
1102,Kabupaten Aceh Singkil,Sumatera,Aceh,Regency,Aceh Singkil,470.1378493,667.7350575,1731,1711
9420,Kabupaten Keerom,Papua,Papua,Regency,Keerom,328.9088184,356.1095887,1991,1993
1701,Kabupaten Bengkulu Selatan,Sumatera,Bengkulu,Regency,Bengkulu Selatan,132.1780033,242.8000362,3615,3625
2105,Kabupaten Kepulauan Anambas,Sumatera,Riau Islands,Regency,Kepulauan Anambas,135.6520816,120.5931268,12047,11104
1215,Kabupaten Humbang Hasundutan,Sumatera,North Sumatera,Regency,Humbang Hasundutan,140.5830043,185.1984979,4141,4136
1104,Kabupaten Aceh Tenggara,Sumatera,Aceh,Regency,Aceh Tenggara,77.88186073,325.4958497,3442,3436
1173,Kota Langsa,Sumatera,Aceh,City,Langsa,1157.812165,1188.988349,3856,3815
1113,Kabupaten Gayo Lues,Sumatera,Aceh,Regency,Gayo Lues,84.32213202,155.6314909,1920,1937
1611,Kabupaten Empat Lawang,Sumatera,South Sumatera,Regency,Empat Lawang,97.76477543,30.15872726,3470,3473
3101,Kabupaten Kepulauan Seribu,Java -Bali,Jakarta,Regency,Kepulauan Seribu,71.00861317,74.22577643,3900,3711
8106,Kabupaten Seram Bagian Barat,Maluku,Maluku,Regency,Seram Bagian Barat,264.0439447,229.8276526,1967,1963
7407,Kabupaten Wakatobi,Sulawesi,Southeast Sulawesi,Regency,Wakatobi,276.5210167,313.6307833,3073,3097
5321,Kabupaten Malaka,Nusa Tenggara,East Nusa Tenggara,Regency,Malaka,316.4500213,430.9000573,1860,1878
5314,Kabupaten Rote Ndao,Nusa Tenggara,East Nusa Tenggara,Regency,Rote Ndao,256.040474,324.7702782,1928,1933
8201,Kabupaten Halmahera Barat,Maluku,North Maluku,Regency,Halmahera Barat,322.279936,380.5971868,1524,1534
1709,Kabupaten Bengkulu Tengah,Sumatera,Bengkulu,Regency,Bengkulu Tengah,161.3547107,394.813523,2887,2885
8102,Kabupaten Maluku Tenggara,Maluku,Maluku,Regency,Maluku Tenggara,281.0917164,318.4101265,1971,1967
8101,Kabupaten Maluku Tenggara Barat,Maluku,Maluku,Regency,Maluku Tenggara Barat,254.1752751,298.2313898,1686,1685
5317,Kabupaten Sumba Barat Daya,Nusa Tenggara,East Nusa Tenggara,Regency,Sumba Barat Daya,245.0212876,291.7864407,2305,2307
6102,Kabupaten Bengkayang,Kalimantan,West Kalimantan,Regency,Bengkayang,316.7772359,421.4710362,5714,5600
7326,Kabupaten Toraja Utara,Sulawesi,South Sulawesi,Regency,Toraja Utara,232.7672156,234.461728,5140,5149
1310,Kabupaten Solok Selatan,Sumatera,West Sumatera,Regency,Solok Selatan,203.4297455,163.2449764,3977,3928
6207,Kabupaten Lamandau,Kalimantan,Central Kalimantan,Regency,Lamandau,284.5630051,144.5660892,3747,3816
8172,Kota Tual,Maluku,Maluku,City,"Tual, Kota",273.9988101,383.3482581,1501,1498
6206,Kabupaten Sukamara,Kalimantan,Central Kalimantan,Regency,Sukamara,214.6977727,215.5572482,2849,2905
7316,Kabupaten Enrekang,Sulawesi,South Sulawesi,Regency,Enrekang,237.0136182,249.9836863,4536,4592
8105,Kabupaten Kepulauan Aru,Maluku,Maluku,Regency,Kepulauan Aru,157.9694812,171.4362205,2279,2278
5318,Kabupaten Nagekeo,Nusa Tenggara,East Nusa Tenggara,Regency,Nagekeo,254.3760473,314.9389565,1370,1379
5307,Kabupaten Alor,Nusa Tenggara,East Nusa Tenggara,Regency,Alor,271.7769565,332.6152651,2007,1996
1309,Kabupaten Pasaman,Sumatera,West Sumatera,Regency,Pasaman,175.5045682,238.7492619,6176,6123
5308,Kabupaten Lembata,Nusa Tenggara,East Nusa Tenggara,Regency,Lembata,219.9819472,267.7388627,1167,1163
2103,Kabupaten Natuna,Sumatera,Riau Islands,Regency,Natuna,262.1031841,317.7460341,15299,14643
5315,Kabupaten Manggarai Barat,Nusa Tenggara,East Nusa Tenggara,Regency,Manggarai Barat,500.4625034,498.1442111,2247,2268
1222,Kabupaten Labuhan Batu Selatan,Sumatera,North Sumatera,Regency,Labuhan Batu Selatan,1262.162604,1390.419005,18750,18899
1706,Kabupaten Mukomuko,Sumatera,Bengkulu,Regency,Mukomuko,186.0051728,230.067435,3325,3326
1304,Kabupaten Sijunjung,Sumatera,West Sumatera,Regency,Sijunjung,614.0490804,537.2907268,6757,6683
5301,Kabupaten Sumba Barat,Nusa Tenggara,East Nusa Tenggara,Regency,Sumba Barat,170.3443846,189.7906556,1441,1437
8104,Kabupaten Buru,Maluku,Maluku,Regency,Buru,655.5741163,645.8497309,1564,1564
7318,Kabupaten Tana Toraja,Sulawesi,South Sulawesi,Regency,Tana Toraja,260.8751955,206.34886,4558,4545
7501,Kabupaten Boalemo,Sulawesi,Gorontalo,Regency,Boalemo,707.7065233,781.1369175,3504,3497
7312,Kabupaten Soppeng,Sulawesi,South Sulawesi,Regency,Soppeng,567.0726304,620.5880334,6994,7147
7107,Kabupaten Bolaang Mongondow Utara,Sulawesi,North Sulawesi,Regency,Bolaang Mongondow Utara,564.2564305,585.3164428,1679,1691
1117,Kabupaten Bener Meriah,Sumatera,Aceh,Regency,Bener Meriah,311.896795,302.0522728,3627,3636
8272,Kota Tidore Kepulauan,Maluku,North Maluku,City,"Kepulauan Tidore, Kota",499.9282804,562.2520757,2018,2058
5312,Kabupaten Ngada,Nusa Tenggara,East Nusa Tenggara,Regency,Ngada,187.7730265,232.7387428,2310,2311
1106,Kabupaten Aceh Tengah,Sumatera,Aceh,Regency,Aceh Tengah,517.4997623,416.2098353,5837,5766
7604,Kabupaten Mamuju,Sulawesi,West Sulawesi,Capital City,Mamuju,546.2477854,540.8071793,8360,8186
7503,Kabupaten Pohuwato,Sulawesi,Gorontalo,Regency,Pohuwato,1008.024174,1161.471796,4610,4602
