"districtID","district","sat2019","sat2020","gdp2019","gdp2020"
3575,"Kota Pasuruan",1504.088738,1499.208617,5964.658203,5706.597168
3576,"Kota Mojokerto",1303.976184,1292.476504,4985.675781,4801.464355
3577,"Kota Madiun",1694.512436,1704.259746,10623.07422,10262.44434
3578,"Kota Surabaya",39552.39439,40099.76497,410879.3125,390936.4063
3579,"Kota Batu",2326.954291,2205.80337,11786.64941,11025.81445
3601,"Kabupaten Pandeglang",4434.220535,4643.098141,19705.73438,19600.07813
3602,"Kabupaten Lebak",4032.88639,4584.364046,20820.48242,20646.56055
3603,"Kabupaten Tangerang",38881.16705,37519.99946,97142.20313,93544.92969
3604,"Kabupaten Serang",16892.58599,16785.76866,54349.79297,53286.82813
3671,"Kota Tangerang",21378.76076,19453.81249,110592.7813,102942.3984
3672,"Kota Cilegon",11285.42937,10199.55485,74249.29688,73596.65625
3673,"Kota Serang",6404.751323,6627.898643,22813.09961,22518.2207
3674,"Kota Tangerang Selatan",15971.69002,15896.90035,60145.12109,59537.28906
