KDJ;KABKOT;PROVINSI;PULAU;Region;KDJ_1;Province;Regency_Ci;acuan;Distric_Na;sat2012;sat2013;sat2014;sat2015;sat2016;sat2017;sat2018;sat2019;sat2020;gdp2012;gdp2013;gdp2014;gdp2015;gdp2016;gdp2017;gdp2018;gdp2019;gdp2020
1705;Kabupaten Seluma;Bengkulu; ;Sumatera;1705;Bengkulu;Regency;Seluma;Seluma;13.81916872;11.07419404;39.10754882;39.40951161;24.39440087;74.59727834;20.20485513;138.1719333;121.3973614;2042.443;2159.746;2274.124;2372.164;2490.699;2610.517;2735.843;2876.727302;2876.43963
9413;Kabupaten Boven Digoel;Papua; ;Papua;9413;Papua;Regency;Boven Digoel;Boven Digoel;13.96308408;171.0021466;94.94554878;143.059204;170.7056839;172.0520582;255.6208849;168.9573705;160.4064162;2367.959;2525.882;2680.942;2825.438;2959.299;3079.356;3185.081;3295.218251;3207.894967
7212;Kabupaten Morowali Utara;Sulawesi Tengah; ;Sulawesi;7212;Central Sulawesi;Regency;Morowali Utara;Morowali Utara;14.21778779;28.68274261;61.60212155;77.36875561;119.2609358;139.1281193;113.8255565;88.04718483;164.8418976;4593.79;5447.597;5472.561;5867.309;6247.646;6578.529;7163.186;8250.490433;8232.339354
1118;Kabupaten Pidie Jaya;Aceh; ;Sumatera;1118;Aceh;Regency;Pidie Jaya;Pidie Jaya;14.774918;44.68260773;303.8751067;410.432644;247.4599768;788.5883034;159.9715357;846.4395497;710.3725054;1918.491;2005.779;2077.391;2180.883;2259.85;2390.84;2502.51;2603.772795;2574.870917
9428;Kabupaten Mamberamo Raya;Papua; ;Papua;9428;Papua;Regency;Mamberamo Raya;Mamberamo Raya;15.07683323;30.2023207;8.71354844;2.394728869;0;6.911957949;4.646428257;4.72109288;11.42952102;582.851;635.133;696.9;768.817;830.659;883.66;934.953;1013.627357;1016.870964
7110;Kabupaten Bolaang Mongondow Selatan;Sulawesi Utara; ;Sulawesi;7110;North Sulawesi;Regency;Bolaang Mongondow Selatan;Bolaang Mongondow Selatan;15.521023;106.6546481;248.3783115;321.3449265;259.8289429;301.9678099;338.822961;418.444864;491.9049017;851.327;912.718;980.919;1039.394;1103.136;1171.959;1249.299;1328.686836;1337.057564
1116;Kabupaten Aceh Jaya;Aceh; ;Sumatera;1116;Aceh;Regency;Aceh Jaya;Aceh Jaya;17.0278237;91.82332462;252.7819278;237.5184865;177.6203629;301.6510142;197.1825341;365.4018896;392.3541715;1541.268;1590.573;1651.201;1718.9;1777;1848.15;1922.74;2001.23541;1988.82775
1220;Kabupaten Padang Lawas Utara;Sumatera Utara; ;Sumatera;1220;North Sumatera;Regency;Padang Lawas Utara;Padang Lawas Utara;17.13845702;17.64341174;94.87267853;96.38955873;35.88430748;230.1105259;588.3442814;335.0770237;154.5119488;5531.49;5871.51;6228.35;6598.3;6991.66;7378.98;7791.05;8227.809174;8321.606199
6411;Kabupaten Mahakam Hulu;Kalimantan Timur;Kalimantan;Kalimantan;6411;East Kalimantan;Regency;Mahakam Ulu;Mahakam Ulu;17.39082009;13.83373356;3.388349593;0;0;0.55151397;0;3.859717786;7.631646931;1350.082;1359.366;1426.53;1473.862;1524.135;1589.557;1675.437;1766.752849;1762.159292
7603;Kabupaten Mamasa;Sulawesi Barat; ;Sulawesi;7603;West Sulawesi;Regency;Mamasa;Mamasa;17.56335708;9.01714132;18.35630267;20.00360823;31.76610754;29.76295137;36.87686121;49.47836004;33.7517015;1497.898;1573.362;1650.69;1761.84;1881.28;1995.43;2116.2;2242.493425;2214.238008
7408;Kabupaten Kolaka Utara;Sulawesi Tenggara; ;Sulawesi;7408;Southeast Sulawesi;Regency;Kolaka Utara;Kolaka Utara;17.90758565;29.43852932;31.73105254;50.34161396;58.23987206;73.60103808;38.3407612;56.2687956;134.6964924;3889.665;4228.093;4581.377;4904.226;5280.49;5598.714;5970.327;6332.02052;6357.348602
7108;Kabupaten Siau Tagulandang Biaro;Sulawesi Utara; ;Sulawesi;7108;North Sulawesi;Regency;Siau Tagulandang Biaro;Kep. Siau Tagulandang Biaro;18.35030474;34.2057296;47.71333674;113.9135409;77.81417125;89.85365289;70.37473029;106.0118965;84.5158322;983.814;1062.667;1143.055;1223.203;1308.886;1400.432;1494.725;1594.723905;1611.149562
